,main_cate,sub_cate,title
0,news,,"단간론파 핵심 개발진의 실사 게임 '데스 컴 트루', 6월 한국어화"
1,news,,"학교 컴퓨터실 그 게임 'Soldat', 18년만에 신작 나온다 "
2,news,,"라이엇 게임즈, 'TFT 모바일' 3월 중 출시 예정  "
3,news,,"""너무 보고 싶었어""... 먼저 세상 떠난 딸을 VR로 만난 엄마 "
4,news,,"동물의 숲 에디션에 아우터월드까지, 코로나바이러스 여파에 일정 차질 "
5,news,리뷰, 손맛 좋은 국산 로그라이트 액션 '메탈유닛' 
6,news,,"웹젠, 'R2 모바일'로 2020년 퀀텀점프  "
7,news,,"'모여봐요 동물의 숲', 판매처마다 다른 특전 4종 공개  "
8,news,기획, '독점작'이 사라지고 있다 
9,news,,"대전 격투 게임 '그랑블루 판타지: 버서스', 6일 PS4 발매 "
10,news,,"""유저가 직접 상품을 만든다"" 검은사막 모바일, 특허 등록  "
11,news,,"액션 로그라이트 '스컬', 2월 19일 스팀 얼리 엑세스 출시  "
12,news,,"기어스 시리즈 이끈 로드 퍼거슨, 블리자드서 디아블로 만든다  "
13,news,단평, 압도적으로 긍정적인 궁극의 정신나감 
14,news,기자수첩, 과태료 1천만 원...韓 규제 비웃는 중국게임 '저질광고'  
15,news,,"'카운터사이드', 출시 하루만에 양대 마켓 인기순위 1위 기록  "
16,news,,"""에오스 레드 성과"" 미스터블루, 당기순이익 377% 증가 "
17,news,,"넥슨, ‘2020년 넥슨 개발자 콘퍼런스’ 발표자 모집 시작 "
18,news,프리뷰," 낙서같은 아기자기한 그래픽, 수집형 턴제 RPG '지블 파이브' 미리보기 "
19,news,기획, 신학기에 게이밍 모니터 어때? 가성비 최강의 엑스스타 모니터 3형제 
20,news,,"빅히트, 직접 개발하는 BTS 게임으로 IP 사업 확대  "
21,news,,"그랑블루 판타지 버서스 참전 확정! EVO2020, 정식 종목 9종 발표 "
22,news,,"성능 상관없이 게임 즐긴다, 엔비디아 '지포스 나우' 정식 출시 "
